# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
507                4.9225607621         4.8643449804         4.0718478896
508                4.9225607621         4.8645213772         4.0806677309
509                4.9225607621         4.8770544986         4.4126165064
510                4.9225607621         4.8628827782         4.1716011111
511                4.9225607621         4.8628975753         4.3814339927
512                4.9225607621         4.8609825213         4.0187470475
513                4.9225607621         4.8830631158         4.3879271481
514                4.9225607621         4.8704129837         4.0822038010
515                4.9225607621         4.8886337954         4.7266640420
516                4.9225607621         4.8938207232         4.8590431284
517                4.9225607621         4.8845763264         4.5526178770
518                4.9225607621         4.8759144849         4.4534667182
519                4.9225607621         4.8586388056         3.9821467900
520                4.9225607621         4.8471232927         3.9937556963
521                4.9225607621         4.8590371440         3.9923112943
522                4.9225607621         4.8306723280         3.6576187449
523                4.9225607621         4.8476376544         4.1330061600
524                4.9225607621         4.8499901798         3.9514192253
525                4.9225607621         4.8864799087         4.6839890226
526                4.9225607621         4.8880884690         4.6259381625
527                4.9225607621         4.8732610444         3.8979438662
528                4.9225607621         4.8629398099         4.3750193912
529                4.9225607621         4.8563188174         3.6410101182
530                4.9225607621         4.8788271477         4.4147583628
531                4.9225607621         4.8687858311         4.1582953349
532                4.9225607621         4.8766241434         4.0928526876
533                4.9225607621         4.8865074235         4.5676845411
534                4.9225607621         4.8604981248         4.1708146911
535                4.9225607621         4.8693995701         4.1758293288
536                4.9225607621         4.8839990287         4.6010040937
537                4.9225607621         4.8688443773         4.2392187142
538                4.9225607621         4.8507718050         4.2481674889
539                4.9225607621         4.8317290442         4.0765065453
540                4.9225607621         4.8506738514         3.9458312760
541                4.9225607621         4.8618011215         4.2138654843
542                4.9225607621         4.8224539079         3.9450790695
543                4.9225607621         4.8477858103         4.0356372825
544                4.9225607621         4.8749687805         4.1454795413
545                4.9225607621         4.8628081653         4.0033628971
546                4.9225607621         4.8507899414         4.1187453592
547                4.9225607621         4.8545515395         4.6257913274
548                4.9225607621         4.8462885307         3.9673757560
549                4.9225607621         4.8697625234         4.6570628551
550                4.9225607621         4.8552478746         4.3671583647
551                4.9225607621         4.8785966866         4.5734736824
552                4.9225607621         4.8737986853         4.1316755866
553                4.9225607621         4.8563340386         3.9992083167
554                4.9225607621         4.8771915416         4.2816955791
555                4.9225607621         4.8556882922         4.3488247706
556                4.9225607621         4.8279580217         3.2661378861
557                4.9225607621         4.8572242203         4.4105819100
558                4.9225607621         4.8487393992         3.9923438960
559                4.9225607621         4.8494995319         4.3509040464
560                4.9225607621         4.7853859375         3.9117384320
561                4.9225607621         4.8299892496         4.1830840332
562                4.9225607621         4.8723196229         4.5472705096
563                4.9225607621         4.8534651893         3.9917763441
564                4.9225607621         4.8781275268         4.7299022346
565                4.9225607621         4.8679006217         4.3984989262
566                4.9225607621         4.8410967405         4.0646688768
567                4.9225607621         4.8747162585         4.1190497616
568                4.9225607621         4.8785228727         4.5392826103
569                4.9225607621         4.8699381644         3.9471654426
570                4.9225607621         4.8771403024         4.4133331162
571                4.9225607621         4.8790427650         4.3427968060
572                4.9225607621         4.8786550863         4.3131431094
573                4.9225607621         4.8581884530         4.2506923657
574                4.9225607621         4.8549323729         4.0103602426
575                4.9225607621         4.8686928249         4.3459450881
576                4.9225607621         4.8769834787         4.4190379709
577                4.9225607621         4.8269650930         3.9582741175
578                4.9225607621         4.8525058553         4.5582700852
579                4.9225607621         4.8614215981         4.6974234852
580                4.9225607621         4.8210295442         3.9713181904
581                4.9225607621         4.8288739368         3.7271424209
582                4.9225607621         4.8675653828         4.4814738015
583                4.9225607621         4.8764398910         4.5216694097
584                4.9225607621         4.8634225023         3.9537490719
585                4.9225607621         4.8586502906         4.2854837596
586                4.9225607621         4.8608375806         4.1084629045
587                4.9225607621         4.8836792913         4.6827590736
588                4.9225607621         4.8542496596         4.1985242594
589                4.9225607621         4.8545323922         3.6935173077
590                4.9225607621         4.8709287436         4.0936390424
591                4.9225607621         4.8295994402         4.0382111947
592                4.9225607621         4.8360825035         4.0213152479
593                4.9225607621         4.8363367503         4.3141481794
594                4.9225607621         4.8717801429         4.5804594057
595                4.9225607621         4.8506884334         4.3190186315
596                4.9225607621         4.8705879151         4.4494289647
597                4.9231140583         4.8684771245         4.1953140540
598                4.9231140583         4.8702155324         4.2618101922
599                4.9231140583         4.8836329849         4.5010761373
