# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
354                4.9268789796         4.8370582887         3.9434345727
355                4.9268789796         4.7409752727         3.6107876458
356                4.9268789796         4.8148647253         3.9434345727
357                4.9268789796         4.8152029415         3.9434345727
358                4.9268789796         4.8475758076         4.5828004894
359                4.9268789796         4.8569808772         4.3710715191
360                4.9268789796         4.8671063886         4.3710715191
361                4.9268789796         4.8801097491         4.0242883332
362                4.9268789796         4.9048071778         4.7638323919
363                4.9268789796         4.8551522029         4.2327087012
364                4.9268789796         4.8649327882         4.2327087012
365                4.9268789796         4.8465637156         4.0655211673
366                4.9268789796         4.8202527674         3.2896708620
367                4.9268789796         4.8631241823         4.1439867979
368                4.9268789796         4.8327154680         3.6368825998
369                4.9268789796         4.7555233678         3.6368825998
370                4.9268789796         4.7787809311         3.4530835396
371                4.9268789796         4.8612623051         3.8175750898
372                4.9268789796         4.8309599797         3.8521359121
373                4.9268789796         4.8185170134         3.8521359121
374                4.9268789796         4.8569274026         4.1987069752
375                4.9268789796         4.7935189600         3.9578688743
376                4.9268789796         4.7746654513         4.0142593687
377                4.9268789796         4.8414821500         4.1204897272
378                4.9268789796         4.8334133511         4.0642115439
379                4.9268789796         4.8578858857         4.0180284840
380                4.9268789796         4.8818808504         4.0180284840
381                4.9268789796         4.8671757785         4.0588340225
382                4.9268789796         4.9102748149         4.7702990548
383                4.9268789796         4.9125844315         4.7702990548
384                4.9268789796         4.8890334163         4.2618400145
385                4.9268789796         4.8219893425         4.2311514236
386                4.9268789796         4.8379508223         3.5611491865
387                4.9268789796         4.8093462459         3.6099506802
388                4.9268789796         4.7270741296         3.6099506802
389                4.9268789796         4.7383983064         3.7704925290
390                4.9268789796         4.8150699342         4.2712724559
391                4.9268789796         4.7686256089         3.7807598396
392                4.9268789796         4.8010733909         3.9567869895
393                4.9268789796         4.8205843980         4.1922418550
394                4.9268789796         4.8491174402         4.4480227847
395                4.9268789796         4.8599110636         4.1903236561
396                4.9268789796         4.8101099917         3.4946905107
397                4.9268789796         4.7770715583         3.9676654608
398                4.9268789796         4.8490700896         4.1156995869
399                4.9268789796         4.8638068555         4.4480227847
400                4.9268789796         4.9020673892         4.4480227847
401                4.9268789796         4.8752980125         3.9352358597
402                4.9268789796         4.8589766190         4.0135114426
403                4.9268789796         4.8206922899         4.1096356223
404                4.9268789796         4.8080952866         4.1096356223
405                4.9268789796         4.8711313024         4.1044759508
406                4.9268789796         4.9134693635         4.8051132115
407                4.9268789796         4.9116724131         4.7152656957
408                4.9268789796         4.8960107312         4.6705086344
409                4.9268789796         4.9011020687         4.6444726618
410                4.9268789796         4.8845819103         4.1862691952
411                4.9268789796         4.8558793936         4.1862691952
412                4.9268789796         4.8744684855         4.1862691952
413                4.9268789796         4.8523999071         4.1862691952
414                4.9268789796         4.8810401297         4.1862691952
415                4.9268789796         4.8704731263         4.0259102237
416                4.9268789796         4.9042848391         4.7519542518
417                4.9268789796         4.8887437384         4.5327895003
418                4.9268789796         4.8700120290         4.4475760713
419                4.9268789796         4.8622135435         3.7926234333
420                4.9268789796         4.8811778064         4.0922881029
421                4.9268789796         4.8293049842         3.9682848813
422                4.9268789796         4.8614387141         4.3154930778
423                4.9268789796         4.8488647891         4.2385869382
424                4.9268789796         4.8516629192         4.5068713208
425                4.9268789796         4.8426313634         3.9657521976
426                4.9268789796         4.8503141461         4.0785932683
427                4.9268789796         4.8355419115         4.0785932683
428                4.9268789796         4.8439281596         4.2295630083
429                4.9268789796         4.8530787273         4.2802193403
430                4.9268789796         4.8032568142         4.1448182200
431                4.9268789796         4.8325572600         3.8624125609
432                4.9268789796         4.8275376881         3.9879195605
433                4.9268789796         4.8055733070         3.5281800357
434                4.9268789796         4.7567354339         3.5281800357
435                4.9268789796         4.8354812308         3.6617251687
436                4.9268789796         4.8491753486         3.9875363824
437                4.9268789796         4.8395120274         3.9585356891
438                4.9268789796         4.7988725705         3.9585356891
439                4.9268789796         4.7753663533         3.9585356891
440                4.9268789796         4.8221503497         4.0777072471
441                4.9268789796         4.8517243426         3.9570651114
442                4.9268789796         4.7949392158         3.3780133127
443                4.9268789796         4.8403585361         3.0336288190
444                4.9268789796         4.8325377629         3.9273029537
445                4.9268789796         4.8476404362         3.9348032211
446                4.9268789796         4.8737078279         4.4254451741
447                4.9268789796         4.8484412518         4.4254451741
448                4.9268789796         4.8367039761         4.2707243741
449                4.9268789796         4.7946121181         3.5181388929
450                4.9268789796         4.7681463393         3.7523037187
451                4.9268789796         4.7741684300         3.7523037187
452                4.9268789796         4.8038947055         3.8639743952
453                4.9268789796         4.8487776518         3.9573106176
454                4.9268789796         4.8387326432         3.9700333981
455                4.9268789796         4.8598325859         3.9989941365
456                4.9268789796         4.8465560395         4.0090724142
457                4.9268789796         4.8655342859         4.0683332909
458                4.9268789796         4.8376504342         4.0683332909
459                4.9268789796         4.8371091829         4.0097160462
460                4.9268789796         4.7699130208         3.9996377684
461                4.9268789796         4.7668681152         3.2155811807
462                4.9268789796         4.8108415078         3.9983683217
463                4.9268789796         4.8292711025         3.9983683217
464                4.9268789796         4.7191755212         3.3838068948
465                4.9268789796         4.6980110683         3.7874588673
466                4.9268789796         4.8032588628         3.9983683217
467                4.9268789796         4.8737375563         3.9983683217
468                4.9268789796         4.8652613857         3.9983683217
469                4.9268789796         4.8564853270         3.9983683217
470                4.9284068876         4.8714040412         3.9983683217
471                4.9284068876         4.8793984844         4.0202084717
472                4.9284068876         4.8740359979         3.6478698581
473                4.9369572574         4.8294133153         3.6478698581
474                4.9450130440         4.8010467298         3.9215531943
475                4.9450130440         4.8035932851         4.1336481740
476                4.9450130440         4.7320391314         3.8731305942
477                4.9450130440         4.6985495670         3.8702494006
478                4.9450130440         4.6663117547         3.8618856096
479                4.9450130440         4.7214286260         3.8998150283
480                4.9478942376         4.7776888209         3.6892303258
481                4.9478942376         4.8128972213         4.1049152412
482                4.9478942376         4.7807078727         3.8998150283
483                4.9478942376         4.7356866623         3.3576558902
484                4.9478942376         4.7656867705         3.8803276783
485                4.9478942376         4.8144256709         4.0772090579
486                4.9478942376         4.8098019714         3.9048944104
487                4.9478942376         4.8904416254         4.1663741667
488                4.9478942376         4.9052873282         4.5285840563
489                4.9478942376         4.8974334839         4.0633794456
490                4.9573604430         4.9144481873         4.2428008223
491                4.9573604430         4.9232308762         4.6256327728
492                4.9573604430         4.9279903384         4.5647702632
493                4.9573604430         4.9093938284         4.0514813225
494                4.9573604430         4.9223675029         4.5647702632
495                4.9573604430         4.9021835659         4.1478849659
496                4.9573604430         4.8675883044         4.1478849659
497                4.9573604430         4.9150696193         4.4096364621
498                4.9573604430         4.8850657073         4.1752145575
499                4.9573604430         4.9049641600         3.6960589849
500                4.9573604430         4.8196822404         3.4672653593
501                4.9573604430         4.7503193659         3.4611885669
502                4.9573604430         4.8523233305         4.0404525299
503                4.9573604430         4.8933857441         4.2404505990
504                4.9573604430         4.8801041704         3.8448770283
505                4.9573604430         4.8347858025         3.6679359171
506                4.9573604430         4.9070445966         4.1053074962
507                4.9573604430         4.9338735941         4.7719344601
508                4.9573604430         4.9304695701         4.5237838604
509                4.9573604430         4.9234828196         4.5047441857
510                4.9573604430         4.9261961531         4.5841444092
511                4.9573604430         4.9362519688         4.6154206462
512                4.9573604430         4.9231804896         4.3422968923
513                4.9573604430         4.9383464944         4.3403836954
514                4.9573604430         4.9229446570         3.9712607948
515                4.9573604430         4.9127846772         4.0182301906
516                4.9573604430         4.9378593222         4.5626988273
517                4.9573604430         4.9201180350         4.1300901169
518                4.9573604430         4.8987266462         4.1300901169
519                4.9573604430         4.8837711194         4.1300901169
520                4.9573604430         4.9092319560         4.1300901169
521                4.9573604430         4.9324580728         4.2255348577
522                4.9573604430         4.9315429714         4.0997285768
523                4.9573604430         4.9090405641         4.1610666880
524                4.9573604430         4.9344401427         4.2326784656
525                4.9573604430         4.9020674080         4.2326784656
526                4.9573604430         4.9242876093         4.2159945687
527                4.9573604430         4.9368997099         4.2514735624
528                4.9573604430         4.8874370372         4.2420073571
529                4.9573604430         4.9117339022         4.2514735624
530                4.9573604430         4.9043865118         3.7114077276
531                4.9573604430         4.9248565079         3.7114077276
532                4.9573604430         4.9484502935         4.7200748938
533                4.9573604430         4.9337229318         4.2592715946
534                4.9573604430         4.8854161087         4.2008819258
535                4.9573604430         4.9040847852         4.2008819258
536                4.9573604430         4.8145018007         3.8083997116
537                4.9573604430         4.8136395937         4.1914157204
538                4.9573604430         4.8492560077         3.3499214989
539                4.9573604430         4.8566347969         4.1064000161
540                4.9573604430         4.8351736963         3.8409486437
541                4.9573604430         4.8606941254         4.2008819258
542                4.9573604430         4.8921901447         4.4789966066
543                4.9573604430         4.9181447155         4.4789966066
544                4.9573604430         4.9361537289         4.4789966066
545                4.9573604430         4.9012761193         4.1044492757
546                4.9573604430         4.8562208237         4.1044492757
547                4.9573604430         4.8652187536         4.0499401677
548                4.9573604430         4.8780140423         3.9876527563
549                4.9573604430         4.8620805368         3.9846054189
550                4.9573604430         4.7933917316         3.1617489200
551                4.9573604430         4.7719883603         3.7591058224
552                4.9573604430         4.7801356332         3.7591058224
553                4.9573604430         4.8360315198         3.9846054189
554                4.9573604430         4.8666051364         3.7243192497
555                4.9573604430         4.8241105154         3.7243192497
556                4.9573604430         4.8382578894         3.2382886882
557                4.9573604430         4.8680996422         3.5173477459
558                4.9573604430         4.8954157996         3.9947778464
559                4.9573604430         4.9006085181         4.2362796919
560                4.9573604430         4.9219402663         4.5216375078
561                4.9573604430         4.9303167257         4.4886914168
562                4.9573604430         4.9242955987         4.3145792949
563                4.9573604430         4.9314907709         4.1541964360
564                4.9573604430         4.9244652789         4.1541964360
565                4.9573604430         4.9442506368         4.7122006441
566                4.9573604430         4.8754143648         3.7604673403
567                4.9573604430         4.8452928491         3.2775651701
568                4.9573604430         4.8730015410         3.8791615138
569                4.9573604430         4.8700015195         3.8234526967
570                4.9573604430         4.8185434499         3.8234526967
571                4.9573604430         4.8799258473         4.0277334119
572                4.9573604430         4.8867458574         4.3648162479
573                4.9573604430         4.8461063748         4.4825355279
574                4.9573604430         4.8741011065         4.3977192016
